loadingOrder,change_ship,label,leave_port_lat,leave_port_lon,des_port_lat,des_port_lon
VV205638934939,1,3142164.0,22.559462,113.86305800000001,6.433161900000001,3.3560550000000005
LJ969838486912,0,2492316.0,22.5777,114.275347,53.508008999999994,9.963777
GD608651153121,0,3077177.0,22.694213,113.653433,5.282197,-4.00494
CJ695577500305,1,4099324.0000000005,22.559462,113.86305800000001,5.651612,0.001217
OH274400624046,1,2163324.0,22.559462,113.86305800000001,26.135392,50.618590000000005
YR410684362015,1,3567887.0,22.419915,114.13970900000001,5.651612,0.001217
IO757912202150,0,3099450.0,22.5777,114.275347,-12.030142999999999,-77.13264699999999
IS593689413591,0,2506629.0,22.559462,113.86305800000001,-23.954513000000002,-46.28402
PY457460039500,1,2173375.0,22.5777,114.275347,36.806591,34.629573
MS111323254516,1,3474791.0,22.5777,114.275347,-3.1372709999999997,-60.02955
OY711538887806,0,3178063.0,22.5777,114.275347,-12.030142999999999,-77.13264699999999
UM197266484624,0,2594231.0,22.5777,114.275347,-23.954513000000002,-46.28402
BR217004375038,0,2561629.0,22.559462,113.86305800000001,-23.954513000000002,-46.28402
YU789224747421,0,2279097.0,22.559462,113.86305800000001,13.940551999999999,-90.787534
CG314205110535,0,2902570.0,22.694213,113.653433,5.282197,-4.00494
XK281646627950,3,5698629.0,43.303233,5.3624730000000005,22.637145,113.813896
EL210247028514,1,3146868.0,49.490140000000004,0.204605,22.559462,113.86305800000001
XZ421384928721,0,3986019.0000000005,31.344022,121.64364599999999,6.449741,3.3795949999999997
CY932741725762,0,2228889.0,22.559462,113.86305800000001,45.323482,14.440479000000002
CH115924710387,0,3544843.0,22.5777,114.275347,-33.578213,-71.609932
IX234520810112,1,3474791.0,22.5777,114.275347,-3.1372709999999997,-60.02955
BI367211474086,0,2164816.0,22.5777,114.275347,50.790419,-1.121292
KV200221124966,0,2422537.0,22.5777,114.275347,51.90936,4.6026739999999995
IP934579494276,0,2481242.0,22.5777,114.275347,-23.954513000000002,-46.28402
JX626193717769,0,2180344.0,22.5777,114.275347,51.963177,1.313896
UR959470052195,0,2225076.0,22.559462,113.86305800000001,39.460366,-0.327021
DW257251251903,1,2384035.0,22.5777,114.275347,-23.954513000000002,-46.28402
DR473273094138,0,2159275.0,22.5777,114.275347,9.354559,-79.897503
YN417056818429,0,2767702.0,22.559462,113.86305800000001,6.377862,2.414607
FJ738133198036,1,2282353.0,22.5777,114.275347,33.599299,-7.607741000000001
FX124645766744,0,2358697.0,22.5777,114.275347,-34.903857,-56.212547
LX473004992436,1,3364832.0,22.694213,113.653433,8.489542,-13.232303
YR739520903156,0,2640951.0,22.694213,113.653433,-6.825322,39.287453
OY537649105775,0,3178063.0,22.5777,114.275347,-12.030142999999999,-77.13264699999999
VB110425266032,1,3650009.0,22.694213,113.653433,4.027768,9.668861999999999
PB936621648793,1,2801872.0,22.5777,114.275347,3.875255,-77.068433
VI831394352797,0,3206634.0,22.419915,114.13970900000001,-34.595989,-58.368230000000004
JN929874415260,1,2257858.0,22.5777,114.275347,33.599299,-7.607741000000001
VS416622842006,0,2289837.0,22.5777,114.275347,50.790419,-1.121292
DZ993778979479,2,2701736.0,25.022073000000002,55.04979,36.768454999999996,3.064607
XW790282040102,1,3308252.0,22.5777,114.275347,32.886587,13.181617000000001
GY500913111126,0,2488911.0,22.5777,114.275347,-23.954513000000002,-46.28402
BR634812266919,0,2157016.0,22.5777,114.275347,50.790419,-1.121292
YT411942287097,0,2210638.0,22.559462,113.86305800000001,-29.868304,31.050079999999998
QR470428742237,0,2454526.0,22.559462,113.86305800000001,45.219417,14.569439000000001
TL538187314934,0,2460620.0,31.344022,121.64364599999999,-12.030142999999999,-77.13264699999999
EY844495908948,1,2651193.0,22.5777,114.275347,33.599299,-7.607741000000001
GX527699329579,0,2379475.0,22.694213,113.653433,-6.825322,39.287453
YO693043530875,0,3036050.0,22.5777,114.275347,-34.903857,-56.212547
ID983774427684,0,2859377.0,22.559462,113.86305800000001,5.305333,-4.0041199999999995
ZJ775589139419,0,2365041.0,25.022073000000002,55.04979,22.419915,114.13970900000001
VB792977993242,0,3228932.0,22.694213,113.653433,6.449741,3.3795949999999997
TT456485215517,1,2489194.0,22.5777,114.275347,33.599299,-7.607741000000001
TF770518614045,0,2494033.0,22.559462,113.86305800000001,-23.954513000000002,-46.28402
SY159575898640,0,2558742.0,22.559462,113.86305800000001,-23.954513000000002,-46.28402
PI784223716268,0,2472523.0,22.5777,114.275347,-23.954513000000002,-46.28402
RX624251384632,0,2422537.0,22.5777,114.275347,51.90936,4.6026739999999995
UI266363703371,0,3567651.0,22.5777,114.275347,-33.578213,-71.609932
VV802782595415,1,2788904.0,22.559462,113.86305800000001,-20.945823999999998,55.31156
BF258163419622,0,3719190.0,-23.954513000000002,-46.28402,22.559462,113.86305800000001
XS805724182246,0,2100905.0,22.556499,114.236875,51.92442,4.477733
PC982588523996,1,3061388.0,45.537061,13.728527,22.419915,114.13970900000001
KU881136397139,0,2426037.0,22.559462,113.86305800000001,-29.868304,31.050079999999998
ZW808186032382,1,2403329.0,22.5777,114.275347,38.711859999999994,-9.166323
BL569468583648,0,2339335.0,22.419915,114.13970900000001,-23.954513000000002,-46.28402
FA613483721059,0,3167132.0,22.559462,113.86305800000001,-20.148059,57.496988
QK533355433577,0,2758076.0,22.419915,114.13970900000001,-34.595989,-58.368230000000004
RS391254582052,0,2315998.0,22.5777,114.275347,51.90936,4.6026739999999995
XG720192167295,0,2805601.0,22.694213,113.653433,6.449741,3.3795949999999997
OK117744873495,0,2481242.0,22.5777,114.275347,-23.954513000000002,-46.28402
GS299338854634,1,2877480.0,22.5777,114.275347,13.581498000000002,-89.82955600000001
LC607456126389,0,2468571.0,22.5777,114.275347,-23.954513000000002,-46.28402
QT659131608354,1,3098937.0,45.537061,13.728527,22.5777,114.275347
